rule,rank,method,score,bigram_test_perplexity,trigram_test_perplexity
trigram_test_ppl,1,interpolation,580.9309088640216,642.0106010620483,580.9309088640216
trigram_test_ppl,2,backoff,634.049069484171,600.6679187008604,634.049069484171
trigram_test_ppl,3,kneser_ney,634.3167729885017,586.8364550954786,634.3167729885017
trigram_test_ppl,4,laplace,7850.224022937087,3192.0239935886975,7850.224022937087
bigram_test_ppl,1,kneser_ney,586.8364550954786,586.8364550954786,634.3167729885017
bigram_test_ppl,2,backoff,600.6679187008604,600.6679187008604,634.049069484171
bigram_test_ppl,3,interpolation,642.0106010620483,642.0106010620483,580.9309088640216
bigram_test_ppl,4,laplace,3192.0239935886975,3192.0239935886975,7850.224022937087
avg_bigram_trigram_test_ppl,1,kneser_ney,610.5766140419902,586.8364550954786,634.3167729885017
avg_bigram_trigram_test_ppl,2,interpolation,611.470754963035,642.0106010620483,580.9309088640216
avg_bigram_trigram_test_ppl,3,backoff,617.3584940925157,600.6679187008604,634.049069484171
avg_bigram_trigram_test_ppl,4,laplace,5521.124008262892,3192.0239935886975,7850.224022937087
