method,order,params_json,train_perplexity,val_perplexity,val_zero_prob_events,val_unseen_rate
laplace,2,"{""alpha"": 1.0}",2424.204416519783,2186.5258539964557,0,0.0
interpolation,2,"{""lambda1"": 0.5, ""lambda2"": 0.5}",52.944834803013606,429.92972337161103,0,0.0
interpolation,2,"{""lambda1"": 0.4, ""lambda2"": 0.6}",46.52634212618079,461.0093218245683,0,0.0
interpolation,2,"{""lambda1"": 0.30000000000000004, ""lambda2"": 0.7}",41.65641751928093,510.86698599787354,0,0.0
interpolation,2,"{""lambda1"": 0.19999999999999996, ""lambda2"": 0.8}",37.822224252240936,598.4824562847182,0,0.0
interpolation,2,"{""lambda1"": 0.09999999999999998, ""lambda2"": 0.9}",34.719649268221374,798.6370726030302,0,0.0
backoff,2,"{""discount"": 0.5}",50.80006978697649,442.14585491174574,0,0.0
backoff,2,"{""discount"": 0.75}",78.53426933697833,410.5605661866399,0,0.0
backoff,2,"{""discount"": 1.0}",inf,inf,1715,0.12299196787148595
kneser_ney,2,"{""discount"": 0.5}",47.889544994982465,453.89399008468854,0,0.0
kneser_ney,2,"{""discount"": 0.75}",69.81816338834548,398.8789965877835,0,0.0
kneser_ney,2,"{""discount"": 1.0}",605.4398245464085,434.72588579289345,0,0.0
laplace,3,"{""alpha"": 1.0}",4027.9329362195062,5967.738368326372,0,0.0
interpolation,3,"{""lambda1"": 0.0, ""lambda2"": 0.0, ""lambda3"": 1.0}",2.3429078862410666,inf,11238,0.8059380378657487
interpolation,3,"{""lambda1"": 0.0, ""lambda2"": 0.1, ""lambda3"": 0.9}",2.5411476584112407,inf,6164,0.44205393000573723
interpolation,3,"{""lambda1"": 0.0, ""lambda2"": 0.2, ""lambda3"": 0.8}",2.7790054823547568,inf,6164,0.44205393000573723
interpolation,3,"{""lambda1"": 0.0, ""lambda2"": 0.3, ""lambda3"": 0.7}",3.0701974233791107,inf,6164,0.44205393000573723
interpolation,3,"{""lambda1"": 0.0, ""lambda2"": 0.4, ""lambda3"": 0.6}",3.435884166741596,inf,6164,0.44205393000573723
interpolation,3,"{""lambda1"": 0.0, ""lambda2"": 0.5, ""lambda3"": 0.5}",3.9107092758969495,inf,6164,0.44205393000573723
interpolation,3,"{""lambda1"": 0.0, ""lambda2"": 0.6, ""lambda3"": 0.4}",4.556114151783039,inf,6164,0.44205393000573723
interpolation,3,"{""lambda1"": 0.0, ""lambda2"": 0.7, ""lambda3"": 0.3}",5.494262755087351,inf,6164,0.44205393000573723
interpolation,3,"{""lambda1"": 0.0, ""lambda2"": 0.8, ""lambda3"": 0.2}",7.015871906416958,inf,6164,0.44205393000573723
interpolation,3,"{""lambda1"": 0.0, ""lambda2"": 0.9, ""lambda3"": 0.1}",10.093233053494039,inf,6164,0.44205393000573723
interpolation,3,"{""lambda1"": 0.0, ""lambda2"": 1.0, ""lambda3"": 0.0}",32.15732412106309,inf,6164,0.44205393000573723
interpolation,3,"{""lambda1"": 0.1, ""lambda2"": 0.0, ""lambda3"": 0.9}",2.584510827189882,2474.173031682071,0,0.0
interpolation,3,"{""lambda1"": 0.1, ""lambda2"": 0.1, ""lambda3"": 0.8}",2.8292680447670358,1355.9630295899726,0,0.0
interpolation,3,"{""lambda1"": 0.1, ""lambda2"": 0.2, ""lambda3"": 0.7}",3.129472973747768,1140.5387825919197,0,0.0
interpolation,3,"{""lambda1"": 0.1, ""lambda2"": 0.3, ""lambda3"": 0.6}",3.507313366826579,1021.1873748560844,0,0.0
interpolation,3,"{""lambda1"": 0.1, ""lambda2"": 0.4, ""lambda3"": 0.5}",3.9992275077130888,942.5603078701694,0,0.0
interpolation,3,"{""lambda1"": 0.1, ""lambda2"": 0.5, ""lambda3"": 0.4}",4.670078717805873,886.474175358026,0,0.0
interpolation,3,"{""lambda1"": 0.1, ""lambda2"": 0.6, ""lambda3"": 0.3}",5.649425216149122,845.0049764581795,0,0.0
interpolation,3,"{""lambda1"": 0.1, ""lambda2"": 0.7, ""lambda3"": 0.2}",7.247429960972061,814.4625835023436,0,0.0
interpolation,3,"{""lambda1"": 0.1, ""lambda2"": 0.8, ""lambda3"": 0.1}",10.510540023008655,794.0825351021033,0,0.0
interpolation,3,"{""lambda1"": 0.1, ""lambda2"": 0.9, ""lambda3"": 0.0}",34.719649268221374,798.6370726030302,0,0.0
interpolation,3,"{""lambda1"": 0.2, ""lambda2"": 0.0, ""lambda3"": 0.8}",2.883288979040915,1427.842709799144,0,0.0
interpolation,3,"{""lambda1"": 0.2, ""lambda2"": 0.1, ""lambda3"": 0.7}",3.1933038682907853,907.9924937923598,0,0.0
interpolation,3,"{""lambda1"": 0.2, ""lambda2"": 0.2, ""lambda3"": 0.6}",3.5844385898985505,788.5438782503013,0,0.0
interpolation,3,"{""lambda1"": 0.2, ""lambda2"": 0.3, ""lambda3"": 0.5}",4.095148559333349,718.3848868662258,0,0.0
interpolation,3,"{""lambda1"": 0.2, ""lambda2"": 0.4, ""lambda3"": 0.4}",4.79417131087569,670.8081578168458,0,0.0
interpolation,3,"{""lambda1"": 0.2, ""lambda2"": 0.5, ""lambda3"": 0.3}",5.819507948531875,636.587350929731,0,0.0
interpolation,3,"{""lambda1"": 0.2, ""lambda2"": 0.6, ""lambda3"": 0.2}",7.503770758350797,611.7781149613405,0,0.0
