penalty,rank,feature,coefficient,abs_coefficient
l1,1,is_ellipsis,-1.796487,1.796487
l1,2,right_word_is_upper,1.098428,1.098428
l1,3,word_len,1.065956,1.065956
l1,4,prev_char_is_alpha,0.954433,0.954433
l1,5,next_is_quote,-0.920682,0.920682
l1,6,left_word_len,-0.899417,0.899417
l1,7,next_char_is_space,-0.833571,0.833571
l1,8,right_word_freq_rank,-0.621386,0.621386
l1,9,prev_char_is_digit,0.615543,0.615543
l1,10,left_has_vowel,-0.527162,0.527162
l1,11,prev_is_comma_or_semi,-0.424482,0.424482
l1,12,words_since_last_dot,-0.386479,0.386479
l1,13,right_word_len,-0.356817,0.356817
l1,14,left_word_is_upper,0.347957,0.347957
l1,15,dot_position_ratio,-0.29447,0.29447
l1,16,chars_since_last_dot,0.292933,0.292933
l1,17,left_word_freq_rank,0.071141,0.071141
l1,18,is_known_abbreviation,-0.032851,0.032851
l2,1,is_ellipsis,-0.698147,0.698147
l2,2,next_is_quote,-0.547369,0.547369
l2,3,prev_char_is_alpha,0.535866,0.535866
l2,4,next_char_is_space,-0.445062,0.445062
l2,5,word_len,0.167143,0.167143
l2,6,prev_char_is_digit,0.138584,0.138584
l2,7,left_has_vowel,-0.135441,0.135441
l2,8,right_word_is_upper,0.104418,0.104418
l2,9,chars_since_last_dot,0.089321,0.089321
l2,10,left_word_len,-0.06834,0.06834
l2,11,words_since_last_dot,0.067448,0.067448
l2,12,right_word_freq_rank,0.055386,0.055386
l2,13,left_word_is_upper,0.055329,0.055329
l2,14,left_word_freq_rank,0.038492,0.038492
l2,15,prev_is_comma_or_semi,-0.035765,0.035765
l2,16,right_word_len,0.017651,0.017651
l2,17,is_known_abbreviation,0.011178,0.011178
l2,18,dot_position_ratio,-0.002582,0.002582
