penalty,C,train_accuracy,train_f1,val_accuracy,val_f1
l1,0.001,0.983359,0.99161,0.947429,0.973005
l1,0.01,0.994453,0.997188,0.950857,0.974721
l1,0.1,0.99584,0.997881,0.948571,0.97342
l1,0.5,0.997843,0.998903,0.949714,0.974087
l1,1.0,0.998305,0.999138,0.950857,0.974691
l1,5.0,0.998921,0.999452,0.950857,0.974661
l1,10.0,0.998921,0.999452,0.952,0.975265
l2,0.001,0.988598,0.994236,0.947429,0.973005
l2,0.01,0.996456,0.9982,0.952,0.975294
l2,0.1,0.997689,0.998825,0.948571,0.973483
l2,0.5,0.997997,0.998981,0.948571,0.973451
l2,1.0,0.998151,0.99906,0.949714,0.974057
l2,5.0,0.998921,0.999452,0.949714,0.974057
l2,10.0,0.998921,0.999452,0.950857,0.974661
