row_id,author,title
0,Məhəmməd Füzuli,Aftabi-tələtin tutduqca övci-irtifa
1,Məhəmməd Füzuli,"Aləm oldu şad səndən, mən əsiri-qəm hənuz"
2,Məhəmməd Füzuli,Ah eylədiyim sərvi-xuramanın üçündür
3,Məhəmməd Füzuli,Aldı gülzar içrə su əksi-üzari-alini
4,Məhəmməd Füzuli,"Arizin görsə fələk, mehr buraxmaz ayə"
5,Məhəmməd Füzuli,Aşiq oldum yenə bir tazə güli-rənayə
6,Məhəmməd Füzuli,Aşiyani-mürği-dil zülfi-pərişanındadır
7,Məhəmməd Füzuli,Bari-möhnətdən nihali-qamətin xəm olmasın
8,Məhəmməd Füzuli,Batalı qanə oxun dideyi-giryan içrə
9,Məhəmməd Füzuli,"Bağə girdim, səri-kuyin anıb əfğan etdim"
10,Məhəmməd Füzuli,Bağə gir bülbülə ərzi-güli-rüxsar eylə
11,Məhəmməd Füzuli,"Bilməz idim, bilmək ağzın sirrini düşvar imiş"
12,Məhəmməd Füzuli,"Bir gün ki, dey əlamətin etmişdi aşikar"
13,Məhəmməd Füzuli,Bir qul oğılani könül mülkünə sultan etdim
14,Məhəmməd Füzuli,"Bu gün tiğin çəkib, çıxmışdır ol namehriban sərxoş"
15,Məhəmməd Füzuli,Bülbüli-dil gülşəni-rüxsarın eylər arizu
16,Məhəmməd Füzuli,Buraxdı xakə hüsnün afitabi-aləmarayi
17,Məhəmməd Füzuli,"Budur fərqi, könül, məhşər gününün ruzi-hicrandan"
18,Məhəmməd Füzuli,Bəzmi-eşq içrə şərabımdır sirişki-laləgun
19,Məhəmməd Füzuli,"Bəs ki, zəfi-ruzədən hər gün bulur təğyiri-hal"
20,Məhəmməd Füzuli,Bəngü-Badə
21,Məhəmməd Füzuli,"Bəhri-eşqə düşdün, ey dil, zövqi-dünyani unut"
22,Məhəmməd Füzuli,Can çıxır təndən könül zikri-ləbi-yar eyləgəc
23,Məhəmməd Füzuli,"Can vermə qəmi-eşqə ki, eşq afəti-candır"
24,Məhəmməd Füzuli,"Can verir rayiheyi-türbəti-pakin, ey tak"
25,Məhəmməd Füzuli,"Canlar verib, sənin kimi cananə yetmişəm"
26,Məhəmməd Füzuli,Canımın cövhəri ol ləli-gühərbarə fəda
27,Məhəmməd Füzuli,Canı kim cananı üçün sevsə cananın sevər
28,Məhəmməd Füzuli,"Canə basdım qönçəvəş peykanını, ey tazə gül"
29,Məhəmməd Füzuli,"Cilveyi-əksi-rüxün ayinədə, ey rəşki-hur"
30,Məhəmməd Füzuli,"Cəhan içrə hər fitnə kim, olsa hadis"
31,Məhəmməd Füzuli,"Cismimi yandırma, rəhm et yaşimə, ey bağrı daş"
32,Məhəmməd Füzuli,Demiş hər qönçəyə aşiqligim razın səba derlər
33,Məhəmməd Füzuli,Demiş hər qönçəyə aşiqliyim razın səba derlər
34,Məhəmməd Füzuli,"Dil ki, sərmənzili ol zülfi-pərişan olmuş"
35,Məhəmməd Füzuli,"Dostum, aləm səninçin gər olur düşmən mana"
