token,term_frequency,document_frequency
bir,3506,706
ki,2931,643
bu,2709,673
nə,1666,463
aşıq,1349,52
ey,1269,497
hər,1225,462
ilə,1222,452
kim,1173,498
mən,1059,370
o,999,197
i,997,346
də,968,183
ol,958,443
ələsgər,948,102
kimi,838,285
sən,800,292
var,798,269
oldu,718,282
da,644,99
çox,537,208
mənim,536,169
məni,488,257
gün,485,240
dedi,481,118
can,457,296
tək,427,213
idi,419,116
mənə,412,194
olur,354,170
onun,342,140
sənə,342,175
ona,340,155
gül,334,185
sənin,317,127
dеdi,310,14
həm,308,152
gör,306,191
əgər,303,154
öz,299,126
olsun,297,113
ta,296,199
gördü,293,87
söz,293,86
olmaz,292,167
gəl,290,145
qədər,288,99
ola,286,148
yox,277,145
ya,276,148
səni,265,156
olub,264,170
sonra,263,48
çün,261,168
eylə,259,162
onu,257,111
üçün,255,161
a,253,52
eylər,251,107
belə,250,99
əhli,249,161
ay,248,104
biri,248,66
heç,245,95
yar,245,153
gözəl,238,94
könül,236,179
olan,236,149
yüz,236,129
gəldi,234,102
elə,230,85
zaman,230,117
iki,223,114
min,223,149
xoş,223,135
ə,222,36
füzuli,220,219
yaxşı,220,68
eşq,213,133
etdi,204,109
ələsgərin,203,31
necə,200,118
aldı,199,59
gər,195,145
qan,188,133
mana,186,82
və,181,76
səndən,180,116
gəlib,179,62
deyil,178,102
qurban,177,106
gərək,174,81
olmuş,173,96
dil,171,139
qəm,171,113
sana,171,77
göz,170,119
yoxdur,170,85
olar,169,66
bil,168,98
amma,167,46
et,166,107
olsa,166,103
az,163,68
bax,162,64
düşdü,161,95
qıl,160,125
fələk,159,98
qara,158,87
su,158,72
içində,156,93
mənəm,154,54
yenə,154,81
edər,153,89
eylədi,153,94
ver,152,57
əl,152,98
könlüm,146,99
bilməz,145,75
molla,144,26
nədir,144,79
dəli,143,27
nəsimi,143,141
şol,143,72
indi,142,70
sözün,142,69
dünyada,141,72
şah,141,67
xəbər,140,68
baş,137,91
məndən,137,97
gecə,136,74
oğul,135,33
gördüm,134,90
üz,134,74
al,133,81
kişi,130,39
neçə,130,72
dəm,129,95
görək,129,23
ağlarsan,128,1
canım,128,87
başına,126,66
vaqif,126,52
şirin,126,96
bəy,125,22
edib,125,84
onda,125,73
qıldı,125,89
səhər,125,71
mey,124,57
ondan,124,89
sözü,123,63
yol,123,69
üzün,123,90
еlə,123,23
həcər,122,12
allah,120,52
bəs,119,68
çünki,119,91
elədi,118,23
verdi,117,70
gəlir,115,70
qaldı,115,69
tutub,115,71
xaqani,115,41
nağı,113,8
bizə,112,78
eşqin,112,97
əli,112,58
anın,111,79
еy,111,53
dünya,110,68
etmiş,110,70
kəs,110,75
sübh,110,45
ı,108,10
şad,108,65
l,107,12
olmuşam,107,52
getdi,106,60
məşədi,106,14
üstə,106,63
aşiq,105,81
alı,104,15
ağ,104,71
dəxi,104,74
yoxdu,104,74
biz,103,46
içrə,103,80
olma,103,81
ələsgərə,103,18
vardır,102,52
özü,102,52
etmə,101,74
günü,101,70
istər,101,71
gah,100,48
yana,100,62
ələsgəri,100,32
imiş,99,67
sazı,99,16
budur,98,67
