model,epoch,avg_loss,examples_seen
skipgram,1,2.6777786315955834,993290
skipgram,2,2.1395042764725165,993290
skipgram,3,1.8719116083129166,993290
skipgram,4,1.7449505357297104,993290
skipgram,5,1.675988950226173,993290
skipgram,6,1.6334813560076293,993290
skipgram,7,1.6022738626377495,993290
skipgram,8,1.576595898082322,993290
cbow,1,3.1875421488258433,102497
cbow,2,2.721004408992279,102497
cbow,3,2.5684329190821735,102497
cbow,4,2.349695769426517,102497
cbow,5,2.1186327037040686,102497
cbow,6,1.8400988848880206,102497
cbow,7,1.5678203506109274,102497
cbow,8,1.3231168308435957,102497
