token_id,token,corpus_frequency
0,bir,3506
1,ki,2931
2,bu,2709
3,nə,1666
4,aşıq,1349
5,ey,1269
6,hər,1225
7,ilə,1222
8,kim,1173
9,mən,1059
10,o,999
11,i,997
12,də,968
13,ol,958
14,ələsgər,948
15,kimi,838
16,sən,800
17,var,798
18,oldu,718
19,da,644
20,çox,537
21,mənim,536
22,məni,488
23,gün,485
24,dedi,481
25,can,457
26,tək,427
27,idi,419
28,mənə,412
29,olur,354
30,onun,342
31,sənə,342
32,ona,340
33,gül,334
34,sənin,317
35,dеdi,310
36,həm,308
37,gör,306
38,əgər,303
39,öz,299
40,olsun,297
41,ta,296
42,gördü,293
43,söz,293
44,olmaz,292
45,gəl,290
46,qədər,288
47,ola,286
48,yox,277
49,ya,276
50,səni,265
51,olub,264
52,sonra,263
53,çün,261
54,eylə,259
55,onu,257
56,üçün,255
57,a,253
58,eylər,251
59,belə,250
60,əhli,249
61,ay,248
62,biri,248
63,heç,245
64,yar,245
65,gözəl,238
66,könül,236
67,olan,236
68,yüz,236
69,gəldi,234
70,elə,230
71,zaman,230
72,iki,223
73,min,223
74,xoş,223
75,ə,222
76,füzuli,220
77,yaxşı,220
78,eşq,213
79,etdi,204
80,ələsgərin,203
81,necə,200
82,aldı,199
83,gər,195
84,qan,188
85,mana,186
86,və,181
87,səndən,180
88,gəlib,179
89,deyil,178
90,qurban,177
91,gərək,174
92,olmuş,173
93,dil,171
94,qəm,171
95,sana,171
96,göz,170
97,yoxdur,170
98,olar,169
99,bil,168
100,amma,167
101,et,166
102,olsa,166
103,az,163
104,bax,162
105,düşdü,161
106,qıl,160
107,fələk,159
108,qara,158
109,su,158
110,içində,156
111,mənəm,154
112,yenə,154
113,edər,153
114,eylədi,153
115,ver,152
116,əl,152
117,könlüm,146
118,bilməz,145
119,molla,144
120,nədir,144
121,dəli,143
122,nəsimi,143
123,şol,143
124,indi,142
125,sözün,142
126,dünyada,141
127,şah,141
128,xəbər,140
129,baş,137
130,məndən,137
131,gecə,136
132,oğul,135
133,gördüm,134
134,üz,134
135,al,133
136,kişi,130
137,neçə,130
138,dəm,129
139,görək,129
140,ağlarsan,128
141,canım,128
142,başına,126
143,vaqif,126
144,şirin,126
145,bəy,125
146,edib,125
147,onda,125
148,qıldı,125
149,səhər,125
150,mey,124
151,ondan,124
152,sözü,123
153,yol,123
154,üzün,123
155,еlə,123
156,həcər,122
157,allah,120
158,bəs,119
159,çünki,119
160,elədi,118
