feature,model,input_dim,train_accuracy,train_macro_f1,test_accuracy,test_macro_f1,train_docs,test_docs,num_classes
count,rnn,3000,0.9976303317535545,0.9988017429193898,0.9004739336492891,0.7921467329069993,844,211,9
count,birnn,3000,0.9976303317535545,0.9988017429193898,0.8909952606635071,0.7831795270521678,844,211,9
count,lstm,3000,0.9976303317535545,0.9988017429193898,0.8815165876777251,0.7256909976774153,844,211,9
tfidf,rnn,3000,0.9940758293838863,0.9884818385108088,0.8957345971563981,0.7904037883346838,844,211,9
tfidf,birnn,3000,0.9976303317535545,0.9988017429193898,0.9004739336492891,0.7925348547135829,844,211,9
tfidf,lstm,3000,0.9585308056872038,0.8500026860237871,0.8767772511848341,0.6817943007367481,844,211,9
pmi,rnn,9,0.9241706161137441,0.7951513098205036,0.8293838862559242,0.6421268910561106,844,211,9
pmi,birnn,9,0.9727488151658767,0.9672401588777932,0.8720379146919431,0.7515647013038602,844,211,9
pmi,lstm,9,0.8329383886255924,0.6279181804564461,0.7251184834123223,0.4747924222526426,844,211,9
word2vec,rnn,100,0.70260663507109,0.4252598534147622,0.6966824644549763,0.40919763854890717,844,211,9
word2vec,birnn,100,0.8092417061611374,0.6082711574297751,0.7914691943127962,0.573918417393534,844,211,9
word2vec,lstm,100,0.6255924170616114,0.31872440166069294,0.6303317535545023,0.3363786562171271,844,211,9
glove,rnn,100,0.4656398104265403,0.22517363085992306,0.44549763033175355,0.2005183775884413,844,211,9
glove,birnn,100,0.4976303317535545,0.2702059572653639,0.5071090047393365,0.2762669332762791,844,211,9
glove,lstm,100,0.4490521327014218,0.20456204433054734,0.41232227488151657,0.17209024443766494,844,211,9
