feature,model,epoch,avg_loss,examples_seen
count,rnn,1,1.7455785291454804,844
count,rnn,2,0.8794979763821968,844
count,rnn,3,0.4369321219729021,844
count,rnn,4,0.22222786110724319,844
count,rnn,5,0.122181378552134,844
count,rnn,6,0.07463305768384752,844
count,rnn,7,0.05129691066829514,844
count,rnn,8,0.03806427299481997,844
count,rnn,9,0.02987310058168043,844
count,rnn,10,0.024567950927427314,844
count,birnn,1,1.6226523137205584,844
count,birnn,2,0.5983755878080124,844
count,birnn,3,0.24048707115141701,844
count,birnn,4,0.11047453818163036,844
count,birnn,5,0.059405247747050645,844
count,birnn,6,0.038109107287291666,844
count,birnn,7,0.027719687440949027,844
count,birnn,8,0.021543361131825717,844
count,birnn,9,0.017592070889063356,844
count,birnn,10,0.014958212948823569,844
count,lstm,1,2.0333489281306334,844
count,lstm,2,1.3900351561076267,844
count,lstm,3,0.7222420559110234,844
count,lstm,4,0.32984453185474705,844
count,lstm,5,0.15841156745691434,844
count,lstm,6,0.08513137263850579,844
count,lstm,7,0.0533149059667689,844
count,lstm,8,0.03727321362043444,844
count,lstm,9,0.028245798899169783,844
count,lstm,10,0.02276163096252776,844
tfidf,rnn,1,2.0658931105057774,844
tfidf,rnn,2,1.784670440506596,844
tfidf,rnn,3,1.510987091403437,844
tfidf,rnn,4,1.1900941935760716,844
tfidf,rnn,5,0.8859612289198202,844
tfidf,rnn,6,0.6396583243851414,844
tfidf,rnn,7,0.4639128045448195,844
tfidf,rnn,8,0.33932147220977676,844
tfidf,rnn,9,0.25220528033107376,844
tfidf,rnn,10,0.1908100215956498,844
tfidf,birnn,1,2.013417747913379,844
tfidf,birnn,2,1.6488219121056145,844
tfidf,birnn,3,1.2455106510370264,844
tfidf,birnn,4,0.8289805653535924,844
tfidf,birnn,5,0.5329312892604213,844
tfidf,birnn,6,0.3479189888278455,844
tfidf,birnn,7,0.2363727570145051,844
tfidf,birnn,8,0.16372710692374062,844
tfidf,birnn,9,0.11462662598533088,844
tfidf,birnn,10,0.08350895009758348,844
tfidf,lstm,1,2.1572342947196055,844
tfidf,lstm,2,2.015506561898507,844
tfidf,lstm,3,1.8226385325617134,844
tfidf,lstm,4,1.6019690545249323,844
tfidf,lstm,5,1.3255962105158945,844
tfidf,lstm,6,1.0189982353228528,844
tfidf,lstm,7,0.7494171629019823,844
tfidf,lstm,8,0.5420125386726234,844
tfidf,lstm,9,0.3950184329426119,844
tfidf,lstm,10,0.2944701980640538,844
pmi,rnn,1,2.0841384719333376,844
pmi,rnn,2,1.8992928944492793,844
pmi,rnn,3,1.7627290781075355,844
pmi,rnn,4,1.604161396410793,844
pmi,rnn,5,1.4183200106236606,844
pmi,rnn,6,1.2151821461899022,844
pmi,rnn,7,1.0209149045966812,844
pmi,rnn,8,0.8466588120324917,844
pmi,rnn,9,0.7030714967804498,844
pmi,rnn,10,0.5866281928326846,844
pmi,birnn,1,2.0620973776867038,844
pmi,birnn,2,1.805317475897441,844
pmi,birnn,3,1.5995086267661145,844
pmi,birnn,4,1.347303937961705,844
pmi,birnn,5,1.083552758275615,844
pmi,birnn,6,0.8431486007161615,844
pmi,birnn,7,0.6489694239968937,844
pmi,birnn,8,0.5028437311050451,844
pmi,birnn,9,0.39851776514008147,844
pmi,birnn,10,0.3221477371821471,844
pmi,lstm,1,2.1463000751784627,844
pmi,lstm,2,2.0547758487728536,844
pmi,lstm,3,1.9485886605429987,844
pmi,lstm,4,1.8622256466562714,844
pmi,lstm,5,1.7582846252839148,844
pmi,lstm,6,1.61547216024444,844
pmi,lstm,7,1.439502097419088,844
pmi,lstm,8,1.2425918064976191,844
pmi,lstm,9,1.0468384682849685,844
pmi,lstm,10,0.8670639729047839,844
word2vec,rnn,1,2.0775936751569053,844
word2vec,rnn,2,1.9355440501353187,844
word2vec,rnn,3,1.8600252951490936,844
word2vec,rnn,4,1.7606929953064399,844
word2vec,rnn,5,1.6363985984811287,844
word2vec,rnn,6,1.4997017784706224,844
word2vec,rnn,7,1.3695733801448515,844
word2vec,rnn,8,1.249823100193982,844
word2vec,rnn,9,1.144083280133975,844
word2vec,rnn,10,1.0518386352683695,844
word2vec,birnn,1,2.047075221323854,844
word2vec,birnn,2,1.8851305997767154,844
word2vec,birnn,3,1.763939141097227,844
word2vec,birnn,4,1.6001010912854525,844
word2vec,birnn,5,1.4261083687651215,844
word2vec,birnn,6,1.2654164249863105,844
word2vec,birnn,7,1.1240085493331837,844
word2vec,birnn,8,1.0004260969387977,844
word2vec,birnn,9,0.8997357055474232,844
word2vec,birnn,10,0.8171352879695982,844
word2vec,lstm,1,2.1732704639434814,844
word2vec,lstm,2,2.062937650070371,844
word2vec,lstm,3,1.956380293832571,844
word2vec,lstm,4,1.899891058980571,844
word2vec,lstm,5,1.8310334281333815,844
word2vec,lstm,6,1.7313941344265689,844
word2vec,lstm,7,1.6083021192189078,844
word2vec,lstm,8,1.4757762633228755,844
word2vec,lstm,9,1.3499589559591212,844
word2vec,lstm,10,1.2363304984513053,844
glove,rnn,1,2.0924181983369223,844
glove,rnn,2,1.9664244533150117,844
glove,rnn,3,1.9109263849484412,844
glove,rnn,4,1.8528108303015831,844
glove,rnn,5,1.7906058343100886,844
glove,rnn,6,1.7226262584116787,844
glove,rnn,7,1.6594788016866169,844
glove,rnn,8,1.6072922154060472,844
glove,rnn,9,1.567300345095413,844
glove,rnn,10,1.5398924644524452,844
glove,birnn,1,2.061692609041223,844
glove,birnn,2,1.9212990095265103,844
glove,birnn,3,1.8437767525984778,844
glove,birnn,4,1.7539223426891164,844
glove,birnn,5,1.6693911162597874,844
glove,birnn,6,1.600349108189768,844
glove,birnn,7,1.5512597058056654,844
glove,birnn,8,1.5182292557440662,844
glove,birnn,9,1.4963084351959952,844
glove,birnn,10,1.4794409224207368,844
glove,lstm,1,2.1760591217691863,844
glove,lstm,2,2.0800916736159842,844
glove,lstm,3,1.9854261434473697,844
glove,lstm,4,1.9418338486368623,844
glove,lstm,5,1.9057624910680038,844
glove,lstm,6,1.858852574610597,844
glove,lstm,7,1.8022279287401535,844
glove,lstm,8,1.7392913572031174,844
glove,lstm,9,1.6784344075415372,844
glove,lstm,10,1.6282352570673866,844
