token,frequency
bir,1700
"ki,",1472
bu,1277
ilə,903
"kim,",733
ol,716
hər,712
ey,693
nə,668
Ey,539
Bir,505
Bu,503
kimi,440
mən,368
o,364
oldu,352
Hər,327
-,314
də,311
Nə,288
"Ki,",281
sən,280
gün,256
Mən,253
tək,252
mənə,235
məni,210
can,208
həm,197
çox,195
var,187
sənə,179
"Füzuli,",176
üçün,176
kim,176
O,176
da,176
mənim,171
Sən,167
olan,161
ta,158
olur,156
ona,154
ya,151
öz,150
onun,145
min,143
ola,142
və,142
çün,141
"var,",140
gör,138
Ol,135
olmuş,134
Ta,130
olub,128
əgər,125
etdi,124
edər,120
heç,120
yüz,117
idi,117
belə,117
onu,116
xoş,116
necə,114
iki,113
gül,112
Çün,112
olmaz,111
gər,110
sənin,109
eylə,109
olsun,108
zaman,107
"Kim,",103
Kim,103
qədər,103
–,103
eylər,102
*,101
göz,99
yox,99
"mən,",97
qan,95
mənim.,95
səni,94
"könül,",93
yar,93
qıldı,93
.,93
dəm,92
"oldu,",91
Dedi:,91
etmiş,90
olsa,88
et,86
"idi,",85
qıl,84
olur.,84
"ilə,",83
səndən,83
ağlarsan.,83
içində,82
içrə,81
eylədi,81
var.,81
gözəl,81
anın,80
edib,79
şol,79
gəl,78
könül,76
mən.,76
deyil,75
onda,75
mey,74
Can,73
dəxi,73
Gər,73
"Xaqani,",73
"kimi,",72
aləmdə,71
Əgər,71
qurban,71
"mənəm,",71
Nəsimi,71
mana.,70
Mənə,69
Sənə,69
su,68
о,68
еy,67
ondan,66
"can,",66
neçə,65
eylər.,65
"sən,",65
cümlə,65
elə,65
etmə,64
yoxdur,64
qəm,63
kəs,63
"ol,",63
'''Vidadi''',63
gecə,62
indi,62
'''Vaqif''',62
məndən,61
daim,61
özgə,61
eşq,60
verdi,60
söz,60
düşdü,59
"tək,",59
kimsə,59
Sənin,59
gül.,59
Dedi,59
biri,59
"Nəsimi,",59
Gör,58
"deyil,",58
gəldi,58
yenə,57
bilməz,57
Ya,57
qara,57
üzün,57
Oldu,57
yol,57
isə,57
bil,57
Şol,57
olar,56
Məni,56
Şah,56
bilir,55
ki,55
şirin,55
könlüm,54
Necə,54
Çox,54
baş,54
Səni,54
Çünki,54
sən.,54
"et,",53
"yox,",53
**,53
ver,53
",",53
nədir,52
üzrə,51
etmək,51
günü,51
istər,51
Ona,51
"olur,",51
dünyada,51
Mənim,51
"əgər,",51
dil,50
şah,50
al,49
"eylə,",49
dərdə,49
Var,49
nəzər,49
fələk,49
olma,49
Onun,49
gördü,49
"məni,",48
şad,48
edən,48
aşiq,48
gərək,48
Günəş,48
bizə,47
Eşq,47
əl,47
üz,47
həq,47
əcəb,46
sana.,46
sübh,46
"bil,",46
Gəl,46
Səndən,46
"də,",46
elədi.,46
"qıl,",44
"sənə,",44
üstə,44
ay,44
başına,44
"gör,",43
"olub,",43
İki,43
qaldı,43
mana,43
Biri,43
edə,42
idim,42
dərman,42
tutub,42
yerdə,42
imiş,42
Sübh,42
badə,42
eşqin,42
yer,42
yaxşı,42
idi.,42
durur.,42
}},42
Gül,41
gördüm,41
"olmaz,",41
saldı,41
dünya,41
dedi:,41
—,41
ancaq,40
"gün,",40
məgər,40
vardır,40
Gərçi,40
bundan,40
od,40
tərk,39
Füzuli,39
sonra,39
özün,39
söz.,39
amma,39
özünü,38
böylə,38
lütf,38
Öz,38
"üçün,",38
Həm,38
özü,38
gəlir,38
zülfü,38
cahanda,38
səhər,38
bilməz.,38
bütün,38
üzü,38
"gəl,",38
çünki,38
"edib,",37
"dil,",37
bəs,37
xəbər,37
sultan,37
görə,37
əlindən,37
Leyk,37
Belə,37
aləmə,37
cahan,37
"zaman,",37
Gördü,37
bax!,37
"Xǝtai,",37
aləm,36
gözüm,36
tez,36
оl,36
heyran,35
"fələk,",35
əhli,35
sözü,35
"eylədi,",35
gah,35
gərçi,35
Yenə,35
Yüz,35
Еy,35
ağ,35
etdim,34
getdi,34
"mənə,",34
gəlib,34
yetər,34
etdi.,34
verir,34
olubdur,34
insan,34
görən,34
"o,",34
Heç,34
şey,34
"mənim,",34
il,34
su.,34
"bax,",34
canım,33
canımı,33
"eylər,",33
qılır,33
hǝr,33
xan,33
Xaqani,33
Onu,32
Bəs,32
gözün,32
görüb,32
Nola,32
ləhzə,32
çəkib,32
Xoş,32
"bu,",32
az,32
"yar,",32
Elə,32
"da,",32
zaman.,32
hiç,31
pərişan,31
olmaq,31
bəyan,31
adı,31
"gül,",31
axır,31
Gah,31
"O,",31
"olsa,",31
dörd,31
ağlarsan!,31
necin,31
oldum,30
İsa,30
ah,30
budur,30
yerə,30
düşər,30
Göz,30
bunu,30
seyr,30
Gəldi,30
"canım,",30
"nədir,",30
bəy,30
olmuşam.,30
ayinə.,30
saçın,30
hərdəm,29
dövran,29
Yar,29
həqdən,29
səbr,29
"ola,",29
"mana,",29
"səni,",29
çəkdi,29
bəla,29
Qoy,29
canü,29
bənzər,29
zahir,29
"etmə,",29
Bütün,29
daha,29
etsə,29
sənin.,29
gözü,29
nur,29
"Ver,",29
nədir?,29
an,29
xəncər.,29
ana,29
gərək.,29
izhar,28
etdim.,28
pünhan,28
"ver,",28
"imiş,",28
viran,28
qul,28
Dil,28
sana,28
həmişə,28
Vaqif,28
dərdü,28
zülfün,28
canan,28
olmuşam,28
gündə,28
yenə.,28
Xǝtai,28
olmadı,27
bülbül,27
nihan,27
yad,27
dərd,27
kərəm,27
ayrı,27
"könlüm,",27
yolunda,27
ilǝ,27
"ikən,",26
Məcnun,26
Mey,26
ilən,26
çü,26
ahü,26
onlar,26
yarın,26
yaşı,26
iman,26
çıxdı,26
yanında,26
qərq,26
kəsə,26
eyləmə,26
qəbul,26
könlüm.,26
verər,26
tamam,26
ələ,26
qoy,26
"oğul,",26
oğlu,26
"Cavad,",26
Yox,25
ikən,25
əhlinə,25
rəvan,25
Qəm,25
sirrini,25
aldı,25
cəfa,25
"oldum,",25
Ay,25
eyləməz,25
"degil,",25
etməyə,25
tək.,25
anı,25
cam,25
Əli,25
Biz,25
Allah,25
oldu.,25
sözünü,25
böyük,25
"Saqi,",25
Ver,25
dedi,25
istəməz.,25
"olar,",25
an.,25
İndi,25
edir,25
"sənəm,",25
bəri,25
Gözəl,25
sanma,24
salmış,24
cəm,24
hasil,24
gözdən,24
eylədim,24
"qəm,",24
ola.,24
düşüb,24
Ondan,24
idim.,24
vermə,24
canə,24
canı,24
düşmən,24
"bilir,",24
tutdu,24
Musa,24
bizim,24
canını,24
Məndən,24
"Gəl,",24
var?,24
eyləyib,24
qəlbi,24
bircə,24
hamı,24
gəl!,24
"olsun,",24
"dilbər,",24
gərəkməz.,24
on,24
sǝn,24
eylə.,23
Neçə,23
dərdinə,23
eylərəm,23
Məgər,23
Könül,23
şərab,23
hal,23
etməz,23
aşiqə,23
Hiç,23
çıxar,23
ərz,23
Zülfü,23
Eylə,23
gələn,23
olmaz.,23
ən,23
xəstə,23
qızıl,23
əlində,23
verən,23
bağlı,23
azad,23
zər,23
şəkər,23
hardasan?,23
"Vaqif,",23
"Seyyida,",23
dəyər.,23
Cavad!,23
tazə,22
xar,22
qədrini,22
"zahid,",22
qılma,22
yaman,22
degil,22
"edər,",22
dilər,22
Fələk,22
eyləsin,22
qanlı,22
Baş,22
oldur,22
göy,22
"gərək,",22
hicran,22
Yoxsa,22
çəkər,22
"müdam,",22
qılan,22
sözün,22
qəmdən,22
bu.,22
başı,22
cana,22
yoxdur.,22
"yoxdur,",22
vardır.,22
tər,22
Onlar,22
üzünə,22
at,22
О,22
sənsən,22
"olmuşam,",22
kimi.,22
Etdi,22
"etdi,",21
hənuz.,21
rəhm,21
"idim,",21
qılmış,21
Kəbə,21
yan,21
yana,21
yarı,21
vermiş,21
eyləmiş,21
tut,21
məst,21
olduğun,21
başında,21
xak,21
"sənsən,",21
dövr,21
məhv,21
yeri,21
açıb,21
dünyanın,21
bilsin,21
"vardır,",21
getmə!,21
gözümdən,21
üzündə,21
edim,21
biz,21
sənsiz.,21
üzünü,21
uş,21
təki,21
yoxdu,21
məndə,20
mələk,20
imiş.,20
xəlq,20
xəlqə,20
üzündən,20
eylə!,20
guya,20
"isə,",20
mənəm,20
verib,20
əyan,20
eyləmək,20
üstünə,20
adını,20
alır,20
ehsan,20
Qıldı,20
xəyal,20
tərəf,20
işi,20
olmuşdur,20
Vey,20
zülm,20
daş,20
mah,20
başqa,20
torpaq,20
səndə,20
verə,20
"çıxar,",20
vaxt,20
artıq,20
Dəxi,20
xeyli,20
iş,20
açdı,20
odu,20
gələ,20
Nəsiminin,20
"anın,",20
nǝ,20
xоş,20
gəldin!,20
köpək,20
qılıb,19
zərrə,19
Surətin,19
zahid,19
alıb,19
"saqi,",19
"olma,",19
bağrım,19
sənsiz,19
könlümü,19
vəli,19
acı,19
deyən,19
ala,19
Al,19
Gün,19
oduna,19
günəş,19
aləmi,19
pak,19
səfa,19
yoxdur!,19
Süleyman,19
"cahanda,",19
gözlərin,19
Əcəb,19
salıb,19
"ona,",19
səcdə,19
Sanki,19
didarına,19
Ünsüri.,19
gizli,18
şərh,18
Ah,18
"pəri,",18
çək,18
ləbin,18
"gördüm,",18
"istərəm,",18
"olan,",18
qamu,18
"əlbəttə,",18
gündən,18
qanda,18
dövründə,18
"məndən,",18
həmdəm,18
göydə,18
canın,18
Su,18
"üzün,",18
"budur,",18
könlümün,18
vəslin,18
Yer,18
rəng,18
zövq,18
Şükr,18
qafil,18
yoxsa,18
Həq,18
"gəlməz,",18
məni.,18
"bilməz,",18
asan,18
kişi,18
el,18
üstündə,18
bəxş,18
işə,18
cənnət,18
neçün,18
sanki,18
Söz,18
əldə,18
de,18
a,18
andan,18
torpağa,18
beş,18
yəqin,18
nazik,18
budur.,18
Ağ,18
hayıf,18
Hǝr,18
dust!,18
Fazil,18
Aşiq,17
bidar,17
gülüstan,17
naləvü,17
meyl,17
Qan,17
"dedilər,",17
qanın,17
qədəh,17
türfə,17
Gördüm,17
"vəli,",17
eyləyən,17
şam,17
"dəm,",17
Mənəm,17
Qansı,17
mümkün,17
əvvəl,17
dəhr,17
dərdi,17
dərdimə,17
rəva,17
gəz,17
"könlümü,",17
işim,17
"səhər,",17
əlin,17
tutar.,17
Və,17
yox.,17
yarə,17
Könlüm,17
Üzün,17
cür,17
hesab,17
üç,17
dəfə,17
"aşiq,",17
yanar,17
et!,17
Cümlə,17
tufan,17
dolu,17
doğru,17
"canan,",17
ürək,17
can.,17
həqqi,17
camalın,17
cahanı,17
arzular.,17
əbəd,17
Xızr,17
"inan,",17
"qəmər,",17
"getdi,",17
evdə,17
Xaqaninin,17
sərv,16
"görüb,",16
əmma,16
Bil,16
qədr,16
görmək,16
əşk,16
saət,16
fəda,16
nişan,16
ox,16
dərdim,16
nalə,16
vəfa,16
dili,16
"olmuş,",16
"qafil,",16
Qıl,16
giryan,16
Özünü,16
quş,16
Getdi,16
"ələ,",16
gülü,16
gövhər,16
bal,16
olar.,16
layiq,16
rəngi,16
geri,16
"qan,",16
rüxün,16
"nəzər,",16
Yoxdur,16
saf,16
görünür.,16
şeytan,16
qaşı,16
söhbət,16
olum,16
Dedilər:,16
Aşiqin,16
qoyma,16
hey,16
bənzər.,16
müştaqəm.,16
xoşdur.,16
içindəyəm.,16
dedilər.,16
əli,16
"düşər,",16
odur,16
ǝldǝn,16
Gecə,16
"dövran,",16
nagəh,15
"etdim,",15
dağ,15
dəmir,15
tənə,15
qaşın,15
olmadan,15
əks,15
qalmadı,15
"sənin,",15
çəkmiş,15
qönçə,15
görmədim,15
"əsər,",15
şükr,15
yerdən,15
bihudə,15
Bizə,15
Öylə,15
könlü,15
səbəbdən,15
parə,15
"çox,",15
"hasil,",15
Onda,15
Bunca,15
rahət,15
qılsa,15
Min,15
onunla,15
yolda,15
surət,15
Canım,15
buldu,15
dərdin,15
Dedim:,15
çəkmə,15
Düşdü,15
zar,15
çarə,15
"Bu,",15
cövrü,15
Dünya,15
fəxr,15
mənəm.,15
olmaram.,15
"Çünki,",15
"bənzər,",15
gətirdi,15
"onun,",15
halı,15
yaşım,15
növ,15
görüb.,15
əzəldən,15
oynar.,15
isən,15
"elə,",15
bəlkə,15
Eşqin,15
ötrü,15
anda,15
Yusif,15
dost,15
ənbər,15
qoydu,15
gerçək,15
eyləmə!,15
sığmazam.,15
degil.,15
Gecə-gündüz,15
Dörd,15
mənə.,15
oğlu!,15
gəlməz?,15
gəh,14
bizi,14
"yetər,",14
lalə,14
qanı,14
"su,",14
qarşı,14
bunca,14
surətin,14
Eylədim,14
Dün,14
bağrı,14
Budur,14
məlamət,14
"istər,",14
Yəni,14
xəlqi,14
versə,14
bağrımı,14
Verdi,14
etdin,14
"tut,",14
başım,14
müşkül,14
derlər.,14
Dedilər,14
eşqində,14
pərvanə,14
Məndə,14
olmasa,14
gələr,14
der,14
dünyanı,14
sirri,14
tutar,14
qoymaz,14
din,14
cüda,14
sübh.,14
əql,14
qaçan,14
eşqə,14
"eylərəm,",14
ömr,14
"gəldi,",14
Dünyada,14
işin,14
edəndə,14
gəlir.,14
Bəlkə,14
gəlməz,14
halın,14
müdam,14
vəslinə,14
tələb,14
bilən,14
ahu,14
çıxan,14
"dur,",14
"bizə,",14
eyləyir,14
dar,14
pis,14
dilbər,14
edərəm,14
qatında,14
bildi,14
ruh,14
Bundan,14
bir.,14
Hanı,14
"tamam,",14
gör!,14
uzun,13
"çəkib,",13
olsan,13
"içrə,",13
tən,13
əfğan,13
"canı,",13
mütləq,13
"səndən,",13
"an,",13
xalın,13
Lütf,13
nuş,13
səba,13
hikmət,13
əsər,13
"yarəb,",13
sor,13
"oldun,",13
candan,13
tutmuş,13
Badə,13
Yaxşı,13
Rəhm,13
görmüş,13
quru,13
derlər,13
hüsnünə,13
bilmən,13
Od,13
həsrət,13
fikri,13
Sanma,13
nisbət,13
"al,",13
"ancaq,",13
özündən,13
siyah,13
ev,13
düşmüş,13
"rəvan,",13
deyə,13
ilan,13
Gecələr,13
Tərk,13
"çəkər,",13
Ola,13
dərya,13
şamü,13
onlara,13
"çarə,",13
Bizim,13
şəxs,13
birisi,13
edər.,13
ağzı,13
yolu,13
başdan,13
ümidim,13
qoyub,13
odlu,13
Sərbəsər,13
nədən,13
baxma,13
sədəf,13
bənzətdim.,13
uzaq,13
ara,13
dürlü,13
eləyib,13
Оl,13
"bir,",13
üzlü,13
Hansı,13
Üz,13
gərəkdir,13
boş,13
həqq,13
"dilərsən,",13
əz,13
nar,13
zülfünü,13
meydan,13
dünyaya,13
lütfü,13
ayrılır.,13
canımız.,13
Bülbül,13
"Vaqifəm,",13
Pəri!,13
ha,13
it,13
nəfər,13
"sübhü,",13
mǝn,13
çоx,13
"Bax,",13
Gəh,12
qıldım,12
Böylə,12
Arizin,12
görsə,12
"əcəb,",12
vəsl,12
dilü,12
naz,12
"göz,",12
faş,12
Aldı,12
gülzar,12
Çəkdi,12
seyd,12
şux,12
hüsnün,12
istərəm,12
cahanın,12
qılmağa,12
fani,12
güman,12
yaxşılıq,12
fəğan,12
göyə,12
qəmin,12
"əyan,",12
zəmanə,12
Saqi,12
çəkən,12
edibdir,12
kimin,12
nola,12
vermək,12
dəva,12
"sana,",12
könlünü,12
müsəlman,12
cövr,12
demək,12
"könlümə,",12
Eylədi,12
möhnət,12
"tutar,",12
bərabər,12
xali,12
ayağa,12
Olub,12
mülkü,12
Vəli,12
hərgiz,12
Qaşın,12
"gözəl,",12
başa,12
təzə,12
şəfa,12
sözləri,12
Yarın,12
sirr,12
cürə,12
dadlı,12
əsir,12
özünə,12
"açıb,",12
Birisi,12
olsun.,12
sual,12
zülmü,12
almaq,12
durub,12
qeyri.,12
tökər,12
olasan,12
Olur,12
işlər,12
göylərə,12
Könlümün,12
yandı,12
qiymət,12
çıxıb,12
abi-heyvan,12
Sonra,12
xəndan,12
yandırdı,12
nadan,12
qoca,12
həm.,12
ürəyim,12
qalan,12
qəlbim,12
pul,12
ərşə,12
elədi,12
daima,12
könlümə,12
dövlət,12
bağında,12
görməz,12
qurbanın,12
yaş,12
vurdu,12
eylədi.,12
hüsnü,12
müştaq,12
top,12
Mənsur,12
hurü,12
dodağın,12
"cahan,",12
"içində,",12
"dust,",12
"eylədim,",12
gözləri,12
yanağın,12
olmadı.,12
şaha,12
düşmüşəm.,12
Mǝn,12
şahın,12
Hacı,12
Hələ,12
gedǝr.,12
Bəsdir,12
ağlarsan?,12
"məgər,",12
deyiləm.,12
deyil.,12
gəlin!,12
vücudin,12
"olaydı,",12
arasında.,12
Üç,12
hanı?,12
Hadi!,12
insan.,12
doğuldu.,12
İraq,12
dilə!,12
bəsləyər.,12
üryan,11
bax,11
giriftar,11
ciyər,11
olmaya,11
kimə,11
sirrin,11
mehr,11
ayə,11
"alıb,",11
durur,11
qəmzən,11
nifrət,11
həmin,11
Adəm,11
güllər,11
bel,11
eldən,11
Yeddi,11
ahim,11
içün,11
qanına,11
bidad,11
gəlsə,11
"aşikar,",11
gəlmiş,11
Olmuş,11
sifət,11
dəmbədəm,11
fəna,11
fəhm,11
"tutub,",11
Tən,11
"götür,",11
"verib,",11
"deyib,",11
"məh,",11
Dərd,11
Məst,11
özüm,11
xah,11
Əql,11
Cəm,11
eyb,11
mehman,11
"rəb,",11
hökm,11
qılmaz,11
Çıxdı,11
doldu,11
ney,11
Dəmbədəm,11
Zülfün,11
eyləyə,11
Saldı,11
"eyləmə,",11
Olma,11
ər,11
halə,11
verməz,11
zəncir,11
dünyadan,11
yeli,11
"daim,",11
vurub,11
bab.,11
Yetər,11
"çoxdur,",11
başıma,11
Qaşların,11
kor,11
Ləbin,11
sayə,11
Nədir,11
sübhü,11
tərəfə,11
qəlbinə,11
Gərək,11
inci,11
"mələk,",11
ad,11
şahlar,11
tərif,11
töhfə,11
pay,11
suyu,11
Tez,11
şövqün,11
təbiət,11
peyda.,11
etmədi,11
"olmasın,",11
"yanar,",11
ruzi,11
"səba,",11
Sözün,11
tökdü,11
Söylə,11
içər,11
eyləsə,11
versin,11
"nur,",11
olanda,11
sərasər,11
salma,11
div,11
əgərçi,11
səhər.,11
çəkər.,11
söylədi:,11
getdi.,11
"üstə,",11
rəngli,11
dönər,11
Daim,11
nəqş,11
ömrü,11
sücud,11
sərdar,11
alim,11
yola,11
evində,11
onların,11
cavan,11
girməz.,11
"ilən,",11
oda,11
"Seyyid,",11
ancaq.,11
gətir,11
keçdi,11
"qaldı,",11
bulunmaz.,11
vey,11
Hüsnün,11
qəmər,11
"xəbər,",11
adın,11
gəl.,11
Qara,11
"qurban,",11
bunun,11
boyu,11
"gətir,",11
etməgil!,11
"dersəm,",11
nola?,11
"sǝnǝm,",11
Sǝn,11
içindǝ,11
mǝndǝdir.,11
hǝm,11
sǝnin,11
başını,11
Molla,11
"aman,",11
Natəvan,11
Xaqaniyə,11
yetǝr,11
gǝldi,11
oldı.,11
onundur.,11
eylərsən.,11
deyir,11
buna,11
oxşar,11
görmədim.,11
mənim*.,11
inan.,11
Dəclə,11
çak,10
gözünə,10
oxun,10
yanan,10
"demə,",10
"gəlir,",10
leyk,10
həyat,10
sərf,10
kam,10
kəm,10
nöqsan,10
Ehtiyat,10
qeyri,10
Şirin,10
yeni,10
El,10
gülşən,10
Olmaz,10
özümü,10
gün-gündən,10
zarü,10
qəsdinə,10
Bahar,10
məkan,10
tök,10
"kəs,",10
Başı,10
nəşə,10
töküb,10
məhrum,10
deyib,10
qətrə,10
"sevər,",10
Aqibət,10
canlar,10
Leyli,10
mehrü,10
zülfünə,10
göydən,10
Eşqə,10
rövşən,10
ayaq,10
evin,10
Eyləməz,10
düşə,10
hüsn,10
kimdir,10
etmişəm,10
Əl,10
Bildi,10
Düşmən,10
tirə,10
könlün,10
şəkkər,10
bürhan,10
sözə,10
dünyadə,10
"bülbül,",10
bir-birinə,10
"izhar,",10
"nola,",10
əldən,10
Gözüm,10
Nuh,10
Şam,10
nəfəs,10
Səndə,10
İmam,10
çəkdim,10
yetdi,10
hicr,10
səbrü,10
istə,10
adam,10
boyun,10
ağacı,10
Buna,10
behişt,10
"gəlib,",10
Onların,10
gahi,10
Çin,10
qanlar,10
Səhər,10
düşdüm,10
qədəm,10
verdim,10
qələm,10
Kimsə,10
elmü,10
aşiqin,10
zərər,10
"vəfa,",10
dal,10
gözündən,10
"əzizim,",10
Deyil,10
içim,10
bilməm,10
səninlə,10
Olmadı,10
bax.,10
qarə,10
zülfünün,10
"həmdəm,",10
yeddi,10
suyun,10
fəth,10
"dedim,",10
aydır,10
zərrəcə,10
aslan,10
göhər,10
lazım,10
ömrüm,10
reyhan,10
artar,10
iç,10
söylə,10
dərdli,10
ağıl,10
açım,10
оnun,10
оlub,10
dəhrdə,10
vaxtı,10
"onlar,",10
Dünyanın,10
üzüm,10
səadət,10
Ancaq,10
dünən,10
ömür,10
vüsal,10
"deyim,",10
bilər,10
qəlbin,10
büryan,10
Zəmanə,10
"dərman,",10
üştə,10
